Sample Name	Protocol REF	Parameter Value[Post Extraction]	Term Source REF	Term Accession Number	Parameter Value[Derivatization]	Term Source REF	Term Accession Number	Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Term Source REF	Term Accession Number	Parameter Value[Column model]	Term Source REF	Term Accession Number	Parameter Value[Column type]	Term Source REF	Term Accession Number	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Scan polarity]	Term Source REF	Term Accession Number	Parameter Value[Scan m/z range]	Term Source REF	Term Accession Number	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[Ion source]	Term Source REF	Term Accession Number	Parameter Value[Mass analyzer]	Term Source REF	Term Accession Number	MS Assay Name	Raw Spectral Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
20150417_QC_POS_06	Extraction	120 μL isopropanol			none			20150417_QC_POS_06	Chromatography	ACQUITY UPLC	MS	http://purl.obolibrary.org/obo/MS_1001761	CSH C18 column (2.1×100 mm, 1.7 μm, Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters XEVO-G2XS QTOF			electrospray ionization (ESI)			quadrupole time-of-fligh			20150417_QC_POS_06	FILES/20150417_QC_POS_06.raw.zip	Data transformation	N1		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
20150417_QC_POS_07	Extraction	120 μL isopropanol			none			20150417_QC_POS_07	Chromatography	ACQUITY UPLC	MS	http://purl.obolibrary.org/obo/MS_1001761	CSH C18 column (2.1×100 mm, 1.7 μm, Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters XEVO-G2XS QTOF			electrospray ionization (ESI)			quadrupole time-of-fligh			20150417_QC_POS_07	FILES/20150417_QC_POS_07.raw.zip	Data transformation	N1		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
20150417_QC_POS_08	Extraction	120 μL isopropanol			none			20150417_QC_POS_08	Chromatography	ACQUITY UPLC	MS	http://purl.obolibrary.org/obo/MS_1001761	CSH C18 column (2.1×100 mm, 1.7 μm, Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters XEVO-G2XS QTOF			electrospray ionization (ESI)			quadrupole time-of-fligh			20150417_QC_POS_08	FILES/20150417_QC_POS_08.raw.zip	Data transformation	N1		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
20150417_QC_POS_09	Extraction	120 μL isopropanol			none			20150417_QC_POS_09	Chromatography	ACQUITY UPLC	MS	http://purl.obolibrary.org/obo/MS_1001761	CSH C18 column (2.1×100 mm, 1.7 μm, Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters XEVO-G2XS QTOF			electrospray ionization (ESI)			quadrupole time-of-fligh			20150417_QC_POS_09	FILES/20150417_QC_POS_09.raw.zip	Data transformation	N1		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
20150417_QC_POS_10	Extraction	120 μL isopropanol			none			20150417_QC_POS_10	Chromatography	ACQUITY UPLC	MS	http://purl.obolibrary.org/obo/MS_1001761	CSH C18 column (2.1×100 mm, 1.7 μm, Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters XEVO-G2XS QTOF			electrospray ionization (ESI)			quadrupole time-of-fligh			20150417_QC_POS_10	FILES/20150417_QC_POS_10.raw.zip	Data transformation	N1		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00236	Extraction	120 μL isopropanol			none			SD-B00236	Chromatography	ACQUITY UPLC	MS	http://purl.obolibrary.org/obo/MS_1001761	CSH C18 column (2.1×100 mm, 1.7 μm, Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters XEVO-G2XS QTOF			electrospray ionization (ESI)			quadrupole time-of-fligh			SD-B00236	FILES/SD-B00236.raw.zip	Data transformation	N1		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00160	Extraction	120 μL isopropanol			none			SD-B00160	Chromatography	ACQUITY UPLC	MS	http://purl.obolibrary.org/obo/MS_1001761	CSH C18 column (2.1×100 mm, 1.7 μm, Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters XEVO-G2XS QTOF			electrospray ionization (ESI)			quadrupole time-of-fligh			SD-B00160	FILES/SD-B00160.raw.zip	Data transformation	N1		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00186	Extraction	120 μL isopropanol			none			SD-B00186	Chromatography	ACQUITY UPLC	MS	http://purl.obolibrary.org/obo/MS_1001761	CSH C18 column (2.1×100 mm, 1.7 μm, Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters XEVO-G2XS QTOF			electrospray ionization (ESI)			quadrupole time-of-fligh			SD-B00186	FILES/SD-B00186.raw.zip	Data transformation	N1		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00351	Extraction	120 μL isopropanol			none			SD-B00351	Chromatography	ACQUITY UPLC	MS	http://purl.obolibrary.org/obo/MS_1001761	CSH C18 column (2.1×100 mm, 1.7 μm, Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters XEVO-G2XS QTOF			electrospray ionization (ESI)			quadrupole time-of-fligh			SD-B00351	FILES/SD-B00351.raw.zip	Data transformation	N1		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00150	Extraction	120 μL isopropanol			none			SD-B00150	Chromatography	ACQUITY UPLC	MS	http://purl.obolibrary.org/obo/MS_1001761	CSH C18 column (2.1×100 mm, 1.7 μm, Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters XEVO-G2XS QTOF			electrospray ionization (ESI)			quadrupole time-of-fligh			SD-B00150	FILES/SD-B00150.raw.zip	Data transformation	N1		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
