Sample Name	Protocol REF	Parameter Value[Post Extraction]	Term Source REF	Term Accession Number	Parameter Value[Derivatization]	Term Source REF	Term Accession Number	Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Term Source REF	Term Accession Number	Parameter Value[Column model]	Term Source REF	Term Accession Number	Parameter Value[Column type]	Term Source REF	Term Accession Number	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Scan polarity]	Term Source REF	Term Accession Number	Parameter Value[Scan m/z range]	Term Source REF	Term Accession Number	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[Ion source]	Term Source REF	Term Accession Number	Parameter Value[Mass analyzer]	Term Source REF	Term Accession Number	MS Assay Name	Raw Spectral Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
20150417_QC_POS_06	Extraction	isopropanol			none			20150417_QC_POS_06	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150417_QC_POS_06	FILES/20150417_QC_POS_06.raw.zip	Data transformation	N2		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
20150417_QC_POS_07	Extraction	isopropanol			none			20150417_QC_POS_07	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150417_QC_POS_07	FILES/20150417_QC_POS_07.raw.zip	Data transformation	N2		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
20150417_QC_POS_08	Extraction	isopropanol			none			20150417_QC_POS_08	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150417_QC_POS_08	FILES/20150417_QC_POS_08.raw.zip	Data transformation	N2		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
20150417_QC_POS_09	Extraction	isopropanol			none			20150417_QC_POS_09	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150417_QC_POS_09	FILES/20150417_QC_POS_09.raw.zip	Data transformation	N2		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
20150417_QC_POS_10	Extraction	isopropanol			none			20150417_QC_POS_10	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150417_QC_POS_10	FILES/20150417_QC_POS_10.raw.zip	Data transformation	N2		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00236	Extraction	isopropanol			none			SD-B00236	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			SD-B00236	FILES/SD-B00236.raw.zip	Data transformation	N2		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00160	Extraction	isopropanol			none			SD-B00160	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			SD-B00160	FILES/SD-B00160.raw.zip	Data transformation	N2		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00186	Extraction	isopropanol			none			SD-B00186	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			SD-B00186	FILES/SD-B00186.raw.zip	Data transformation	N2		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00351	Extraction	isopropanol			none			SD-B00351	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			SD-B00351	FILES/SD-B00351.raw.zip	Data transformation	N2		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00150	Extraction	isopropanol			none			SD-B00150	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			SD-B00150	FILES/SD-B00150.raw.zip	Data transformation	N2		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00136	Extraction	isopropanol			none			SD-B00136	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			SD-B00136	FILES/SD-B00136.raw.zip	Data transformation	N2		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00359	Extraction	isopropanol			none			SD-B00359	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			SD-B00359	FILES/SD-B00359.raw.zip	Data transformation	N2		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00389	Extraction	isopropanol			none			SD-B00389	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			SD-B00389	FILES/SD-B00389.raw.zip	Data transformation	N2		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00118	Extraction	isopropanol			none			SD-B00118	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			SD-B00118	FILES/SD-B00118.raw.zip	Data transformation	N2		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
20150417_QC_POS_11	Extraction	isopropanol			none			20150417_QC_POS_11	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			20150417_QC_POS_11	FILES/20150417_QC_POS_11.raw.zip	Data transformation	N2		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00372	Extraction	isopropanol			none			SD-B00372	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			SD-B00372	FILES/SD-B00372.raw.zip	Data transformation	N2		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00277	Extraction	isopropanol			none			SD-B00277	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			SD-B00277	FILES/SD-B00277.raw.zip	Data transformation	N2		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
SD-B00224	Extraction	isopropanol			none			SD-B00224	Chromatography	Waters ACQUITY UPLC system			ACQUITY UPLC CSH C18 (1.7 μm, 2.1 mm x 100 mm; Waters)			reverse phase							Mass spectrometry	positive			50-2000			Waters Xevo G2-XS QTof			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	quadrupole time-of-flight			SD-B00224	FILES/SD-B00224.raw.zip	Data transformation	N2		Metabolite identification	m_mtbls352_metabolite_profiling_mass_spectrometry_v2_maf	m_MTBLS352_metabolite_profiling_mass_spectrometry_v2_maf.tsv
